,Satznummer_Auto,Artikeltext_Auto,"V9_KKI_Relevanz 
0 = nicht relevant, 1 = relevant","V10_Erwähnung_KKI_Angebot 
0 = nicht relevant, 1 = wird nicht erwähnt, 2 = wird erwähnt","V11_Bewertung_KKI 
0 = nicht relevant, 1 = negativ, 2 = positiv, 3= neutral","V12_Frame_Risiko_Fortschritt_Gemischt 
0 = nicht relevant, 1 = Risiko, 2 = Fortschritt, 3 = gemischt, 33 = kein Frame","V13_Risiko_Typ 
0 = nicht relevant, 1 =   Gesellschaftsrisiken, 2 =  Sicherheitsrisiken, 3 = Wirtschaftsrisiken, 4 = Informationsrisiken, 5 = Existentielle Risiken, 77 = kein konkretes Risiko, 99 = mehrere Risiken, 88 = anderes Risiko, 33 = kein Risiko","V13_2_Risiko_Typ_Anderes 
offenes Codieren","V14_Fortschritt_Typ 
0 = nicht relevant, 1 = Gesellschaftlicher Fortschritt, 2 = Gesundheitlicher Fortschritt, 3 = Wirtschaftlicher Fortschritt, 4 = Technologischer Fortschritt, 5 = Fortschritt zum Wohle der Menschheit, 77 = kein konkreter Fortschritt, 99 = mehrere Fortschrittstypen, 88 = anderer Fortschritt, 33 = kein Fortschritt","V14_2_Fortschritt_Typ_Anderes 
offenes Codieren",article_id,prefix,suffix
1266,47,"Zum Beispiel ist eine Bewertung der Umweltauswirkungen bislang nur für Anwendungen vorgeschrieben, die in den Bereich des hohen Risikos fallen.",1,1,3,1,5,0,33,0.0,875,"Wachter plädiert dafür, alle Akteur:innen in der Kette in die Verantwortung zu nehmen aber mit unterschiedlichen Pflichten. So müsse ein Ton-Hersteller beispielsweise dafür sorgen, dass kein Gift in dem Material sei. Der Hersteller einer Vase darf keine Fälschung erstellen und der Kunde niemanden damit erschlagen. Eine analoge Regulierung brauche es auch für KI. Auch beim Umweltaspekt gibt es noch Luft nach oben.","Die KI-Anwendung für den OP-Roboter braucht also die Bewertung, der Chatbot aber nicht. Dazu kommt: Die Modelle zum Maschinellen Lernen, die zahlreichen aktuellen KI-Anwendungen zu Grunde liegen, werden immer größer und damit ressourcenintensiver. Wenn wir davon ausgehen, dass wir unseren Energieverbrauch reduzieren müssen, ist das kontraproduktiv, sagt Friederike Rohde vom Institut für ökologische Wirtschaftsforschung. Philipp Hacker, Professor für Recht und Ethik in der Digitalen Gesellschaft an der Europauniversität Viadrina, schlägt in einem aktuellen Arbeitspapier daher unter anderem eine Deckelung des Energieverbrauchs vor diese könnte für gesellschaftlich wichtige Anwendungen höher ausfallen, als für weniger wichtige."
1267,48,"Die KI-Anwendung für den OP-Roboter braucht also die Bewertung, der Chatbot aber nicht.",1,1,3,1,5,0,33,0.0,875,"So müsse ein Ton-Hersteller beispielsweise dafür sorgen, dass kein Gift in dem Material sei. Der Hersteller einer Vase darf keine Fälschung erstellen und der Kunde niemanden damit erschlagen. Eine analoge Regulierung brauche es auch für KI. Auch beim Umweltaspekt gibt es noch Luft nach oben. Zum Beispiel ist eine Bewertung der Umweltauswirkungen bislang nur für Anwendungen vorgeschrieben, die in den Bereich des hohen Risikos fallen.","Dazu kommt: Die Modelle zum Maschinellen Lernen, die zahlreichen aktuellen KI-Anwendungen zu Grunde liegen, werden immer größer und damit ressourcenintensiver. Wenn wir davon ausgehen, dass wir unseren Energieverbrauch reduzieren müssen, ist das kontraproduktiv, sagt Friederike Rohde vom Institut für ökologische Wirtschaftsforschung. Philipp Hacker, Professor für Recht und Ethik in der Digitalen Gesellschaft an der Europauniversität Viadrina, schlägt in einem aktuellen Arbeitspapier daher unter anderem eine Deckelung des Energieverbrauchs vor diese könnte für gesellschaftlich wichtige Anwendungen höher ausfallen, als für weniger wichtige. Außerdem gelte es, neben der Energie auch den Wasserverbrauch im Blick zu haben: Ein großes Modell, wie GPT-4, auf dem auch ChatGPT basiert, verbrauche signifikante Mengen Wasser für die Kühlung der Rechenzentren."
1268,49,"Dazu kommt: Die Modelle zum Maschinellen Lernen, die zahlreichen aktuellen KI-Anwendungen zu Grunde liegen, werden immer größer und damit ressourcenintensiver.",1,1,1,1,5,0,33,0.0,875,"Der Hersteller einer Vase darf keine Fälschung erstellen und der Kunde niemanden damit erschlagen. Eine analoge Regulierung brauche es auch für KI. Auch beim Umweltaspekt gibt es noch Luft nach oben. Zum Beispiel ist eine Bewertung der Umweltauswirkungen bislang nur für Anwendungen vorgeschrieben, die in den Bereich des hohen Risikos fallen. Die KI-Anwendung für den OP-Roboter braucht also die Bewertung, der Chatbot aber nicht.","Wenn wir davon ausgehen, dass wir unseren Energieverbrauch reduzieren müssen, ist das kontraproduktiv, sagt Friederike Rohde vom Institut für ökologische Wirtschaftsforschung. Philipp Hacker, Professor für Recht und Ethik in der Digitalen Gesellschaft an der Europauniversität Viadrina, schlägt in einem aktuellen Arbeitspapier daher unter anderem eine Deckelung des Energieverbrauchs vor diese könnte für gesellschaftlich wichtige Anwendungen höher ausfallen, als für weniger wichtige. Außerdem gelte es, neben der Energie auch den Wasserverbrauch im Blick zu haben: Ein großes Modell, wie GPT-4, auf dem auch ChatGPT basiert, verbrauche signifikante Mengen Wasser für die Kühlung der Rechenzentren. Ein Austausch von 20 bis 50 Fragen mit ChatGPT verbrauche aktuellen Schätzungen zufolge etwa einen halben Liter Wasser."
1269,50,"Wenn wir davon ausgehen, dass wir unseren Energieverbrauch reduzieren müssen, ist das kontraproduktiv, sagt Friederike Rohde vom Institut für ökologische Wirtschaftsforschung.",1,1,1,1,5,0,33,0.0,875,"Eine analoge Regulierung brauche es auch für KI. Auch beim Umweltaspekt gibt es noch Luft nach oben. Zum Beispiel ist eine Bewertung der Umweltauswirkungen bislang nur für Anwendungen vorgeschrieben, die in den Bereich des hohen Risikos fallen. Die KI-Anwendung für den OP-Roboter braucht also die Bewertung, der Chatbot aber nicht. Dazu kommt: Die Modelle zum Maschinellen Lernen, die zahlreichen aktuellen KI-Anwendungen zu Grunde liegen, werden immer größer und damit ressourcenintensiver.","Philipp Hacker, Professor für Recht und Ethik in der Digitalen Gesellschaft an der Europauniversität Viadrina, schlägt in einem aktuellen Arbeitspapier daher unter anderem eine Deckelung des Energieverbrauchs vor diese könnte für gesellschaftlich wichtige Anwendungen höher ausfallen, als für weniger wichtige. Außerdem gelte es, neben der Energie auch den Wasserverbrauch im Blick zu haben: Ein großes Modell, wie GPT-4, auf dem auch ChatGPT basiert, verbrauche signifikante Mengen Wasser für die Kühlung der Rechenzentren. Ein Austausch von 20 bis 50 Fragen mit ChatGPT verbrauche aktuellen Schätzungen zufolge etwa einen halben Liter Wasser. Wie das mit der Ressourcenschonung gehen kann, zeigt Björn Ommer auf der re: publica-Konferenz."
1270,51,"Philipp Hacker, Professor für Recht und Ethik in der Digitalen Gesellschaft an der Europauniversität Viadrina, schlägt in einem aktuellen Arbeitspapier daher unter anderem eine Deckelung des Energieverbrauchs vor diese könnte für gesellschaftlich wichtige Anwendungen höher ausfallen, als für weniger wichtige.",1,1,3,1,5,0,33,0.0,875,"Auch beim Umweltaspekt gibt es noch Luft nach oben. Zum Beispiel ist eine Bewertung der Umweltauswirkungen bislang nur für Anwendungen vorgeschrieben, die in den Bereich des hohen Risikos fallen. Die KI-Anwendung für den OP-Roboter braucht also die Bewertung, der Chatbot aber nicht. Dazu kommt: Die Modelle zum Maschinellen Lernen, die zahlreichen aktuellen KI-Anwendungen zu Grunde liegen, werden immer größer und damit ressourcenintensiver. Wenn wir davon ausgehen, dass wir unseren Energieverbrauch reduzieren müssen, ist das kontraproduktiv, sagt Friederike Rohde vom Institut für ökologische Wirtschaftsforschung.","Außerdem gelte es, neben der Energie auch den Wasserverbrauch im Blick zu haben: Ein großes Modell, wie GPT-4, auf dem auch ChatGPT basiert, verbrauche signifikante Mengen Wasser für die Kühlung der Rechenzentren. Ein Austausch von 20 bis 50 Fragen mit ChatGPT verbrauche aktuellen Schätzungen zufolge etwa einen halben Liter Wasser. Wie das mit der Ressourcenschonung gehen kann, zeigt Björn Ommer auf der re: publica-Konferenz. Ommer ist Professor an der Ludwigs-Maximilians-Universität München."
1271,52,"Außerdem gelte es, neben der Energie auch den Wasserverbrauch im Blick zu haben: Ein großes Modell, wie GPT-4, auf dem auch ChatGPT basiert, verbrauche signifikante Mengen Wasser für die Kühlung der Rechenzentren.",1,2,1,1,5,0,33,0.0,875,"Zum Beispiel ist eine Bewertung der Umweltauswirkungen bislang nur für Anwendungen vorgeschrieben, die in den Bereich des hohen Risikos fallen. Die KI-Anwendung für den OP-Roboter braucht also die Bewertung, der Chatbot aber nicht. Dazu kommt: Die Modelle zum Maschinellen Lernen, die zahlreichen aktuellen KI-Anwendungen zu Grunde liegen, werden immer größer und damit ressourcenintensiver. Wenn wir davon ausgehen, dass wir unseren Energieverbrauch reduzieren müssen, ist das kontraproduktiv, sagt Friederike Rohde vom Institut für ökologische Wirtschaftsforschung. Philipp Hacker, Professor für Recht und Ethik in der Digitalen Gesellschaft an der Europauniversität Viadrina, schlägt in einem aktuellen Arbeitspapier daher unter anderem eine Deckelung des Energieverbrauchs vor diese könnte für gesellschaftlich wichtige Anwendungen höher ausfallen, als für weniger wichtige.","Ein Austausch von 20 bis 50 Fragen mit ChatGPT verbrauche aktuellen Schätzungen zufolge etwa einen halben Liter Wasser. Wie das mit der Ressourcenschonung gehen kann, zeigt Björn Ommer auf der re: publica-Konferenz. Ommer ist Professor an der Ludwigs-Maximilians-Universität München. Gemeinsam mit seiner Forschungsgruppe veröffentlichte er im vergangenen Jahr einen der leistungsfähigsten KI-Bildgeneratoren, die es derzeit gibt: Stable Diffusion."
1272,53,Ein Austausch von 20 bis 50 Fragen mit ChatGPT verbrauche aktuellen Schätzungen zufolge etwa einen halben Liter Wasser.,1,2,3,1,5,0,33,0.0,875,"Die KI-Anwendung für den OP-Roboter braucht also die Bewertung, der Chatbot aber nicht. Dazu kommt: Die Modelle zum Maschinellen Lernen, die zahlreichen aktuellen KI-Anwendungen zu Grunde liegen, werden immer größer und damit ressourcenintensiver. Wenn wir davon ausgehen, dass wir unseren Energieverbrauch reduzieren müssen, ist das kontraproduktiv, sagt Friederike Rohde vom Institut für ökologische Wirtschaftsforschung. Philipp Hacker, Professor für Recht und Ethik in der Digitalen Gesellschaft an der Europauniversität Viadrina, schlägt in einem aktuellen Arbeitspapier daher unter anderem eine Deckelung des Energieverbrauchs vor diese könnte für gesellschaftlich wichtige Anwendungen höher ausfallen, als für weniger wichtige. Außerdem gelte es, neben der Energie auch den Wasserverbrauch im Blick zu haben: Ein großes Modell, wie GPT-4, auf dem auch ChatGPT basiert, verbrauche signifikante Mengen Wasser für die Kühlung der Rechenzentren.","Wie das mit der Ressourcenschonung gehen kann, zeigt Björn Ommer auf der re: publica-Konferenz. Ommer ist Professor an der Ludwigs-Maximilians-Universität München. Gemeinsam mit seiner Forschungsgruppe veröffentlichte er im vergangenen Jahr einen der leistungsfähigsten KI-Bildgeneratoren, die es derzeit gibt: Stable Diffusion. Im Unterschied zu anderen generativen KIs wie Midjourney oder ChatGPT ist Ommers Software Open Source: Jede: r kann den Quellcode einsehen und verändern."
1273,54,"Wie das mit der Ressourcenschonung gehen kann, zeigt Björn Ommer auf der re: publica-Konferenz.",1,1,3,33,33,0,33,0.0,875,"Dazu kommt: Die Modelle zum Maschinellen Lernen, die zahlreichen aktuellen KI-Anwendungen zu Grunde liegen, werden immer größer und damit ressourcenintensiver. Wenn wir davon ausgehen, dass wir unseren Energieverbrauch reduzieren müssen, ist das kontraproduktiv, sagt Friederike Rohde vom Institut für ökologische Wirtschaftsforschung. Philipp Hacker, Professor für Recht und Ethik in der Digitalen Gesellschaft an der Europauniversität Viadrina, schlägt in einem aktuellen Arbeitspapier daher unter anderem eine Deckelung des Energieverbrauchs vor diese könnte für gesellschaftlich wichtige Anwendungen höher ausfallen, als für weniger wichtige. Außerdem gelte es, neben der Energie auch den Wasserverbrauch im Blick zu haben: Ein großes Modell, wie GPT-4, auf dem auch ChatGPT basiert, verbrauche signifikante Mengen Wasser für die Kühlung der Rechenzentren. Ein Austausch von 20 bis 50 Fragen mit ChatGPT verbrauche aktuellen Schätzungen zufolge etwa einen halben Liter Wasser.","Ommer ist Professor an der Ludwigs-Maximilians-Universität München. Gemeinsam mit seiner Forschungsgruppe veröffentlichte er im vergangenen Jahr einen der leistungsfähigsten KI-Bildgeneratoren, die es derzeit gibt: Stable Diffusion. Im Unterschied zu anderen generativen KIs wie Midjourney oder ChatGPT ist Ommers Software Open Source: Jede: r kann den Quellcode einsehen und verändern. Das kleine und damit ressourcensparende Modell führt dazu, dass die Software auch auf Heimcomputern mit etwas leistungsfähigeren Grafikkarten anwendbar ist."
1275,56,"Gemeinsam mit seiner Forschungsgruppe veröffentlichte er im vergangenen Jahr einen der leistungsfähigsten KI-Bildgeneratoren, die es derzeit gibt: Stable Diffusion.",1,1,2,2,33,0,4,0.0,875,"Philipp Hacker, Professor für Recht und Ethik in der Digitalen Gesellschaft an der Europauniversität Viadrina, schlägt in einem aktuellen Arbeitspapier daher unter anderem eine Deckelung des Energieverbrauchs vor diese könnte für gesellschaftlich wichtige Anwendungen höher ausfallen, als für weniger wichtige. Außerdem gelte es, neben der Energie auch den Wasserverbrauch im Blick zu haben: Ein großes Modell, wie GPT-4, auf dem auch ChatGPT basiert, verbrauche signifikante Mengen Wasser für die Kühlung der Rechenzentren. Ein Austausch von 20 bis 50 Fragen mit ChatGPT verbrauche aktuellen Schätzungen zufolge etwa einen halben Liter Wasser. Wie das mit der Ressourcenschonung gehen kann, zeigt Björn Ommer auf der re: publica-Konferenz. Ommer ist Professor an der Ludwigs-Maximilians-Universität München.","Im Unterschied zu anderen generativen KIs wie Midjourney oder ChatGPT ist Ommers Software Open Source: Jede: r kann den Quellcode einsehen und verändern. Das kleine und damit ressourcensparende Modell führt dazu, dass die Software auch auf Heimcomputern mit etwas leistungsfähigeren Grafikkarten anwendbar ist. Demokratisierung von KI nennt Ommer das. Es könnte ein Baustein sein dafür, dass KI-Anwendungen nicht nur von wenigen großen Firmen entwickelt und betrieben werden."
1276,57,Im Unterschied zu anderen generativen KIs wie Midjourney oder ChatGPT ist Ommers Software Open Source: Jede: r kann den Quellcode einsehen und verändern.,1,2,2,33,33,0,33,0.0,875,"Außerdem gelte es, neben der Energie auch den Wasserverbrauch im Blick zu haben: Ein großes Modell, wie GPT-4, auf dem auch ChatGPT basiert, verbrauche signifikante Mengen Wasser für die Kühlung der Rechenzentren. Ein Austausch von 20 bis 50 Fragen mit ChatGPT verbrauche aktuellen Schätzungen zufolge etwa einen halben Liter Wasser. Wie das mit der Ressourcenschonung gehen kann, zeigt Björn Ommer auf der re: publica-Konferenz. Ommer ist Professor an der Ludwigs-Maximilians-Universität München. Gemeinsam mit seiner Forschungsgruppe veröffentlichte er im vergangenen Jahr einen der leistungsfähigsten KI-Bildgeneratoren, die es derzeit gibt: Stable Diffusion.","Das kleine und damit ressourcensparende Modell führt dazu, dass die Software auch auf Heimcomputern mit etwas leistungsfähigeren Grafikkarten anwendbar ist. Demokratisierung von KI nennt Ommer das. Es könnte ein Baustein sein dafür, dass KI-Anwendungen nicht nur von wenigen großen Firmen entwickelt und betrieben werden. Wenn es uns gelingt, den Menschen in den Mittelpunkt zu stellen, dann wird KI ein großartiges Werkzeug werden, das unsere menschlichen Fähigkeiten ergänzt und erweitert, sagt Ommer."
1277,58,"Das kleine und damit ressourcensparende Modell führt dazu, dass die Software auch auf Heimcomputern mit etwas leistungsfähigeren Grafikkarten anwendbar ist.",1,1,2,2,33,0,4,0.0,875,"Ein Austausch von 20 bis 50 Fragen mit ChatGPT verbrauche aktuellen Schätzungen zufolge etwa einen halben Liter Wasser. Wie das mit der Ressourcenschonung gehen kann, zeigt Björn Ommer auf der re: publica-Konferenz. Ommer ist Professor an der Ludwigs-Maximilians-Universität München. Gemeinsam mit seiner Forschungsgruppe veröffentlichte er im vergangenen Jahr einen der leistungsfähigsten KI-Bildgeneratoren, die es derzeit gibt: Stable Diffusion. Im Unterschied zu anderen generativen KIs wie Midjourney oder ChatGPT ist Ommers Software Open Source: Jede: r kann den Quellcode einsehen und verändern.","Demokratisierung von KI nennt Ommer das. Es könnte ein Baustein sein dafür, dass KI-Anwendungen nicht nur von wenigen großen Firmen entwickelt und betrieben werden. Wenn es uns gelingt, den Menschen in den Mittelpunkt zu stellen, dann wird KI ein großartiges Werkzeug werden, das unsere menschlichen Fähigkeiten ergänzt und erweitert, sagt Ommer. Die nächsten Schritte beim AI Act werden zeigen, ob es in diese Richtung geht."
1278,59,Demokratisierung von KI nennt Ommer das.,1,1,2,2,33,0,1,0.0,875,"Wie das mit der Ressourcenschonung gehen kann, zeigt Björn Ommer auf der re: publica-Konferenz. Ommer ist Professor an der Ludwigs-Maximilians-Universität München. Gemeinsam mit seiner Forschungsgruppe veröffentlichte er im vergangenen Jahr einen der leistungsfähigsten KI-Bildgeneratoren, die es derzeit gibt: Stable Diffusion. Im Unterschied zu anderen generativen KIs wie Midjourney oder ChatGPT ist Ommers Software Open Source: Jede: r kann den Quellcode einsehen und verändern. Das kleine und damit ressourcensparende Modell führt dazu, dass die Software auch auf Heimcomputern mit etwas leistungsfähigeren Grafikkarten anwendbar ist.","Es könnte ein Baustein sein dafür, dass KI-Anwendungen nicht nur von wenigen großen Firmen entwickelt und betrieben werden. Wenn es uns gelingt, den Menschen in den Mittelpunkt zu stellen, dann wird KI ein großartiges Werkzeug werden, das unsere menschlichen Fähigkeiten ergänzt und erweitert, sagt Ommer. Die nächsten Schritte beim AI Act werden zeigen, ob es in diese Richtung geht. Die Risikoklassen für die KI Minimales und begrenztes Risiko KI-Systeme sollen in der EU in Risikoklassen eingeteilt werden."
1279,60,"Es könnte ein Baustein sein dafür, dass KI-Anwendungen nicht nur von wenigen großen Firmen entwickelt und betrieben werden.",1,1,3,3,3,0,1,0.0,875,"Ommer ist Professor an der Ludwigs-Maximilians-Universität München. Gemeinsam mit seiner Forschungsgruppe veröffentlichte er im vergangenen Jahr einen der leistungsfähigsten KI-Bildgeneratoren, die es derzeit gibt: Stable Diffusion. Im Unterschied zu anderen generativen KIs wie Midjourney oder ChatGPT ist Ommers Software Open Source: Jede: r kann den Quellcode einsehen und verändern. Das kleine und damit ressourcensparende Modell führt dazu, dass die Software auch auf Heimcomputern mit etwas leistungsfähigeren Grafikkarten anwendbar ist. Demokratisierung von KI nennt Ommer das.","Wenn es uns gelingt, den Menschen in den Mittelpunkt zu stellen, dann wird KI ein großartiges Werkzeug werden, das unsere menschlichen Fähigkeiten ergänzt und erweitert, sagt Ommer. Die nächsten Schritte beim AI Act werden zeigen, ob es in diese Richtung geht. Die Risikoklassen für die KI Minimales und begrenztes Risiko KI-Systeme sollen in der EU in Risikoklassen eingeteilt werden. Ganz unten befindet die Kategorie minimales Risiko, in die laut EU-Kommission zum Beispiel KI-gestützte Spamfilter gehören."
1280,61,"Wenn es uns gelingt, den Menschen in den Mittelpunkt zu stellen, dann wird KI ein großartiges Werkzeug werden, das unsere menschlichen Fähigkeiten ergänzt und erweitert, sagt Ommer.",1,1,2,2,33,0,4,0.0,875,"Gemeinsam mit seiner Forschungsgruppe veröffentlichte er im vergangenen Jahr einen der leistungsfähigsten KI-Bildgeneratoren, die es derzeit gibt: Stable Diffusion. Im Unterschied zu anderen generativen KIs wie Midjourney oder ChatGPT ist Ommers Software Open Source: Jede: r kann den Quellcode einsehen und verändern. Das kleine und damit ressourcensparende Modell führt dazu, dass die Software auch auf Heimcomputern mit etwas leistungsfähigeren Grafikkarten anwendbar ist. Demokratisierung von KI nennt Ommer das. Es könnte ein Baustein sein dafür, dass KI-Anwendungen nicht nur von wenigen großen Firmen entwickelt und betrieben werden.","Die nächsten Schritte beim AI Act werden zeigen, ob es in diese Richtung geht. Die Risikoklassen für die KI Minimales und begrenztes Risiko KI-Systeme sollen in der EU in Risikoklassen eingeteilt werden. Ganz unten befindet die Kategorie minimales Risiko, in die laut EU-Kommission zum Beispiel KI-gestützte Spamfilter gehören. Für sie sollen die neuen Regeln nicht gelten."
1281,62,"Die nächsten Schritte beim AI Act werden zeigen, ob es in diese Richtung geht.",1,1,3,33,33,0,33,0.0,875,"Im Unterschied zu anderen generativen KIs wie Midjourney oder ChatGPT ist Ommers Software Open Source: Jede: r kann den Quellcode einsehen und verändern. Das kleine und damit ressourcensparende Modell führt dazu, dass die Software auch auf Heimcomputern mit etwas leistungsfähigeren Grafikkarten anwendbar ist. Demokratisierung von KI nennt Ommer das. Es könnte ein Baustein sein dafür, dass KI-Anwendungen nicht nur von wenigen großen Firmen entwickelt und betrieben werden. Wenn es uns gelingt, den Menschen in den Mittelpunkt zu stellen, dann wird KI ein großartiges Werkzeug werden, das unsere menschlichen Fähigkeiten ergänzt und erweitert, sagt Ommer.","Die Risikoklassen für die KI Minimales und begrenztes Risiko KI-Systeme sollen in der EU in Risikoklassen eingeteilt werden. Ganz unten befindet die Kategorie minimales Risiko, in die laut EU-Kommission zum Beispiel KI-gestützte Spamfilter gehören. Für sie sollen die neuen Regeln nicht gelten. In die Kategorie begrenztes Risiko fallen zum Beispiel Chatbots mit KI."
1282,63,Die Risikoklassen für die KI Minimales und begrenztes Risiko KI-Systeme sollen in der EU in Risikoklassen eingeteilt werden.,1,1,3,1,77,0,33,0.0,875,"Das kleine und damit ressourcensparende Modell führt dazu, dass die Software auch auf Heimcomputern mit etwas leistungsfähigeren Grafikkarten anwendbar ist. Demokratisierung von KI nennt Ommer das. Es könnte ein Baustein sein dafür, dass KI-Anwendungen nicht nur von wenigen großen Firmen entwickelt und betrieben werden. Wenn es uns gelingt, den Menschen in den Mittelpunkt zu stellen, dann wird KI ein großartiges Werkzeug werden, das unsere menschlichen Fähigkeiten ergänzt und erweitert, sagt Ommer. Die nächsten Schritte beim AI Act werden zeigen, ob es in diese Richtung geht.","Ganz unten befindet die Kategorie minimales Risiko, in die laut EU-Kommission zum Beispiel KI-gestützte Spamfilter gehören. Für sie sollen die neuen Regeln nicht gelten. In die Kategorie begrenztes Risiko fallen zum Beispiel Chatbots mit KI. Für diese Systeme sollen Transparenzverpflichtungen gelten."
1283,64,"Ganz unten befindet die Kategorie minimales Risiko, in die laut EU-Kommission zum Beispiel KI-gestützte Spamfilter gehören.",1,1,3,1,77,0,33,0.0,875,"Demokratisierung von KI nennt Ommer das. Es könnte ein Baustein sein dafür, dass KI-Anwendungen nicht nur von wenigen großen Firmen entwickelt und betrieben werden. Wenn es uns gelingt, den Menschen in den Mittelpunkt zu stellen, dann wird KI ein großartiges Werkzeug werden, das unsere menschlichen Fähigkeiten ergänzt und erweitert, sagt Ommer. Die nächsten Schritte beim AI Act werden zeigen, ob es in diese Richtung geht. Die Risikoklassen für die KI Minimales und begrenztes Risiko KI-Systeme sollen in der EU in Risikoklassen eingeteilt werden.","Für sie sollen die neuen Regeln nicht gelten. In die Kategorie begrenztes Risiko fallen zum Beispiel Chatbots mit KI. Für diese Systeme sollen Transparenzverpflichtungen gelten. Hohes Risiko Anwendungen dieser Risikoklasse stehen im Zentrum der Regulierungsbemühungen, für sie gilt das Gros der Vorschriften."
1284,65,Für sie sollen die neuen Regeln nicht gelten.,1,1,3,33,33,0,33,0.0,875,"Es könnte ein Baustein sein dafür, dass KI-Anwendungen nicht nur von wenigen großen Firmen entwickelt und betrieben werden. Wenn es uns gelingt, den Menschen in den Mittelpunkt zu stellen, dann wird KI ein großartiges Werkzeug werden, das unsere menschlichen Fähigkeiten ergänzt und erweitert, sagt Ommer. Die nächsten Schritte beim AI Act werden zeigen, ob es in diese Richtung geht. Die Risikoklassen für die KI Minimales und begrenztes Risiko KI-Systeme sollen in der EU in Risikoklassen eingeteilt werden. Ganz unten befindet die Kategorie minimales Risiko, in die laut EU-Kommission zum Beispiel KI-gestützte Spamfilter gehören.","In die Kategorie begrenztes Risiko fallen zum Beispiel Chatbots mit KI. Für diese Systeme sollen Transparenzverpflichtungen gelten. Hohes Risiko Anwendungen dieser Risikoklasse stehen im Zentrum der Regulierungsbemühungen, für sie gilt das Gros der Vorschriften. Hierzu zählen etwa KI-Systeme für kritische Infrastrukturen, Grenzkontrollen, Kreditvergabe oder Personalauswahl."
1285,66,In die Kategorie begrenztes Risiko fallen zum Beispiel Chatbots mit KI.,1,1,3,1,77,0,33,0.0,875,"Wenn es uns gelingt, den Menschen in den Mittelpunkt zu stellen, dann wird KI ein großartiges Werkzeug werden, das unsere menschlichen Fähigkeiten ergänzt und erweitert, sagt Ommer. Die nächsten Schritte beim AI Act werden zeigen, ob es in diese Richtung geht. Die Risikoklassen für die KI Minimales und begrenztes Risiko KI-Systeme sollen in der EU in Risikoklassen eingeteilt werden. Ganz unten befindet die Kategorie minimales Risiko, in die laut EU-Kommission zum Beispiel KI-gestützte Spamfilter gehören. Für sie sollen die neuen Regeln nicht gelten.","Für diese Systeme sollen Transparenzverpflichtungen gelten. Hohes Risiko Anwendungen dieser Risikoklasse stehen im Zentrum der Regulierungsbemühungen, für sie gilt das Gros der Vorschriften. Hierzu zählen etwa KI-Systeme für kritische Infrastrukturen, Grenzkontrollen, Kreditvergabe oder Personalauswahl. Inakzeptables Risiko Diese höchste Risikostufe umfasst verbotene KI-Anwendungen zum Beispiel solche zum Social Scoring, also der staatlichen Bewertung von Verhalten."
1286,67,Für diese Systeme sollen Transparenzverpflichtungen gelten.,1,1,3,1,77,0,33,0.0,875,"Die nächsten Schritte beim AI Act werden zeigen, ob es in diese Richtung geht. Die Risikoklassen für die KI Minimales und begrenztes Risiko KI-Systeme sollen in der EU in Risikoklassen eingeteilt werden. Ganz unten befindet die Kategorie minimales Risiko, in die laut EU-Kommission zum Beispiel KI-gestützte Spamfilter gehören. Für sie sollen die neuen Regeln nicht gelten. In die Kategorie begrenztes Risiko fallen zum Beispiel Chatbots mit KI.","Hohes Risiko Anwendungen dieser Risikoklasse stehen im Zentrum der Regulierungsbemühungen, für sie gilt das Gros der Vorschriften. Hierzu zählen etwa KI-Systeme für kritische Infrastrukturen, Grenzkontrollen, Kreditvergabe oder Personalauswahl. Inakzeptables Risiko Diese höchste Risikostufe umfasst verbotene KI-Anwendungen zum Beispiel solche zum Social Scoring, also der staatlichen Bewertung von Verhalten."
1287,68,"Hohes Risiko Anwendungen dieser Risikoklasse stehen im Zentrum der Regulierungsbemühungen, für sie gilt das Gros der Vorschriften.",1,1,3,1,77,0,33,0.0,875,"Die Risikoklassen für die KI Minimales und begrenztes Risiko KI-Systeme sollen in der EU in Risikoklassen eingeteilt werden. Ganz unten befindet die Kategorie minimales Risiko, in die laut EU-Kommission zum Beispiel KI-gestützte Spamfilter gehören. Für sie sollen die neuen Regeln nicht gelten. In die Kategorie begrenztes Risiko fallen zum Beispiel Chatbots mit KI. Für diese Systeme sollen Transparenzverpflichtungen gelten.","Hierzu zählen etwa KI-Systeme für kritische Infrastrukturen, Grenzkontrollen, Kreditvergabe oder Personalauswahl. Inakzeptables Risiko Diese höchste Risikostufe umfasst verbotene KI-Anwendungen zum Beispiel solche zum Social Scoring, also der staatlichen Bewertung von Verhalten."
1288,69,"Hierzu zählen etwa KI-Systeme für kritische Infrastrukturen, Grenzkontrollen, Kreditvergabe oder Personalauswahl.",1,1,3,1,5,0,33,0.0,875,"Ganz unten befindet die Kategorie minimales Risiko, in die laut EU-Kommission zum Beispiel KI-gestützte Spamfilter gehören. Für sie sollen die neuen Regeln nicht gelten. In die Kategorie begrenztes Risiko fallen zum Beispiel Chatbots mit KI. Für diese Systeme sollen Transparenzverpflichtungen gelten. Hohes Risiko Anwendungen dieser Risikoklasse stehen im Zentrum der Regulierungsbemühungen, für sie gilt das Gros der Vorschriften.","Inakzeptables Risiko Diese höchste Risikostufe umfasst verbotene KI-Anwendungen zum Beispiel solche zum Social Scoring, also der staatlichen Bewertung von Verhalten."
